PointID,Date,Observers
0,6/10/2008,PA
5,6/11/2008,ET
8,6/10/2008,PA
10,6/10/2008,PA
47,6/10/2008,ET
52,6/11/2008,MG
55,6/10/2008,MG
58,6/10/2008,ET
61,6/10/2008,MG
63,6/10/2008,ET
65,6/10/2008,MG
65,6/10/2008,MG
72,6/10/2008,MG
72,6/10/2008,MG
75,6/10/2008,MG
84,6/10/2008,MG
85,6/24/2010,WH
89,6/21/2010,WH
89,6/21/2010,WH
90,6/21/2010,WH
96,6/14/2010,CJ
97,6/15/2010,CJ
116,6/15/2010,CJ
126,6/21/2010,WH
133,6/17/2010,CJ
135,6/23/2010,WH
137,6/24/2010,WH
137,6/24/2010,WH
139,6/21/2010,WH
147,6/17/2010,CJ
154,6/21/2010,WH
155,6/16/2010,CJ
160,6/17/2010,CJ
161,6/23/2010,WH
161,6/23/2010,WH
165,6/16/2010,CJ
166,6/16/2010,CJ
171,6/15/2010,CJ
174,6/23/2010,WH
175,6/23/2010,WH
175,6/23/2010,WH
180,6/15/2010,CJ
187,6/15/2010,CJ
188,6/15/2010,CJ
202,6/16/2010,CJ
204,6/28/2010,WH
204,6/28/2010,WH
213,6/15/2010,CJ
214,6/16/2010,CJ
217,6/28/2010,WH
217,6/28/2010,WH
238,6/17/2010,CJ
240,6/28/2010,WH
240,6/28/2010,WH
246,6/22/2010,WH
246,6/22/2010,WH
250,6/17/2010,WH
260,6/22/2010,WH
260,6/22/2010,WH
260,6/22/2010,WH
260,6/22/2010,WH
260,6/22/2010,WH
268,6/25/2010,WH
268,6/25/2010,WH
283,6/24/2010,WH
296,6/25/2010,WH
296,6/25/2010,WH
300,6/15/2010,JK
301,6/15/2010,JK
302,6/15/2010,JK
311,6/25/2010,WH
317,6/15/2010,JK
325,6/23/2010,JK
325,6/23/2010,JK
333,6/16/2010,JK
338,6/18/2010,JK
339,6/18/2010,JK
341,6/18/2010,JK
343,6/24/2010,JK
346,6/22/2010,JK
348,6/24/2010,JK
348,6/24/2010,JK
357,6/22/2010,JK
358,6/22/2010,JK
358,6/22/2010,JK
359,6/22/2010,JK
360,6/16/2010,JK
362,6/24/2010,JK
369,6/22/2010,JK
369,6/22/2010,JK
369,6/22/2010,JK
376,6/21/2010,JK
376,6/22/2010,JK
376,6/21/2010,JK
377,6/21/2010,JK
379,6/21/2010,JK
379,6/21/2010,JK
382,6/17/2010,JK
402,6/16/2010,JK
403,6/16/2010,JK
404,6/16/2010,JK
404,6/16/2010,JK
406,6/17/2010,JK
419,6/17/2010,JK
421,6/17/2010,JK
422,6/16/2010,JK
423,6/16/2010,JK
428,6/17/2010,WH
433,6/16/2010,JK
433,6/16/2010,JK
457,6/16/2010,WH
460,6/25/2010,JK
464,6/17/2010,WH
478,6/23/2010,JK
479,6/23/2010,JK
483,6/16/2010,WH
487,6/16/2010,WH
492,6/29/2010,JK
492,6/29/2010,JK
501,6/17/2010,WH
501,6/17/2010,WH
501,6/17/2010,WH
502,6/16/2010,WH
504,6/15/2010,WH
504,6/15/2010,WH
504,6/15/2010,WH
512,6/17/2010,WH
512,6/17/2010,WH
515,6/15/2010,WH
517,6/15/2010,WH
518,6/29/2010,WH
521,6/28/2010,JK
529,6/15/2010,WH
533,6/28/2010,JK
533,6/28/2010,JK
533,6/28/2010,JK
540,6/15/2010,WH
547,6/15/2010,WH
548,6/15/2010,WH
581,6/14/2010,CJ
582,6/14/2010,CJ
583,6/14/2010,CJ
623,5/27/2010,CJ
623,5/27/2010,CJ
629,6/14/2010,CJ
639,5/26/2010,CJ
640,5/26/2010,CJ
650,5/26/2010,CJ
651,5/26/2010,CJ
653,5/26/2010,CJ
668,5/26/2010,CJ
669,5/26/2010,CJ
678,6/30/2010,WH
682,5/27/2010,CJ
683,5/27/2010,CJ
701,6/14/2010,CJ
703,5/28/2010,WH
706,5/27/2010,CJ
707,5/27/2010,CJ
712,5/28/2010,LP
716,5/27/2010,CJ
720,5/28/2010,WH
726,5/28/2010,LP
726,5/28/2010,LP
734,5/26/2010,LP
736,5/26/2010,LP
737,5/26/2010,LP
737,5/26/2010,LP
743,5/26/2010,LP
743,5/26/2010,LP
748,5/27/2010,LP
749,5/27/2010,LP
749,5/27/2010,LP
750,5/27/2010,LP
750,5/27/2010,LP
751,5/27/2010,LP
751,5/27/2010,LP
793,6/14/2010,WH
793,6/14/2010,WH
807,6/14/2010,WH
808,6/14/2010,WH
808,6/14/2010,WH
812,6/11/2010,JK
812,6/11/2010,JK
835,6/11/2010,JK
841,5/30/2010,LP
841,5/30/2010,LP
875,6/10/2010,CJ
881,6/10/2010,CJ
882,6/10/2010,CJ
884,6/10/2010,CJ
889,6/30/2010,JK
889,6/30/2010,JK
891,6/10/2010,CJ
909,6/7/2010,WH
915,6/14/2010,JK
943,6/1/2010,CJ
945,6/1/2010,CJ
979,6/7/2010,WH
979,6/7/2010,WH
981,5/31/2010,CJ
986,6/1/2010,CJ
991,6/11/2010,WH
991,6/11/2010,WH
991,5/31/2010,JK
1022,6/7/2010,WH
1022,6/7/2010,WH
1025,5/31/2010,CJ
1031,6/1/2010,CJ
1070,6/10/2010,WH
1070,6/10/2010,WH
1080,6/8/2010,WH
1101,6/10/2010,WH
1101,6/10/2010,WH
1102,6/10/2010,WH
1102,6/10/2010,WH
1104,6/10/2010,WH
1104,6/10/2010,WH
1105,6/10/2010,WH
1107,6/10/2010,WH
1107,6/10/2010,WH
1122,6/2/2010,CJ
1124,5/31/2010,CJ
1149,6/7/2010,WH
1164,6/2/2010,CJ
1182,6/28/2010,WH
1182,6/28/2010,WH
1214,6/7/2010,WH
1215,6/10/2010,WH
1226,6/2/2010,CJ
1227,6/2/2010,CJ
1246,6/10/2010,WH
1253,6/2/2010,CJ
1261,6/1/2010,LP
1272,6/1/2010,JK
1299,6/2/2010,WH
1299,6/2/2010,WH
1325,5/31/2010,JK
1325,5/31/2010,JK
1335,6/1/2010,JK
1340,5/30/2010,LP
1340,5/30/2010,LP
1340,5/30/2010,LP
1347,6/11/2010,WH
1347,6/11/2010,WH
1355,6/3/2010,WH
1355,6/3/2010,WH
1357,6/4/2010,WH
1357,6/4/2010,WH
1380,5/30/2010,LP
1387,6/4/2010,WH
1387,6/4/2010,WH
1388,6/4/2010,WH
1388,6/4/2010,WH
1400,5/31/2010,JK
1400,5/31/2010,JK
1407,6/3/2010,WH
1407,6/3/2010,WH
1438,5/31/2010,WH
1449,6/1/2010,WH
1456,6/3/2010,WH
1456,6/3/2010,WH
1465,6/3/2010,CJ
1469,6/3/2010,CJ
1559,6/8/2010,CJ
1565,5/31/2010,WH
1587,6/8/2010,CJ
1589,6/8/2010,CJ
1640,6/7/2010,CJ
1643,6/7/2010,CJ
1651,6/3/2010,CJ
1672,6/3/2010,CJ
1698,6/2/2010,JK
1712,6/2/2010,JK
1717,6/14/2010,JK
1739,6/2/2010,LP
1769,6/2/2010,LP
1771,6/2/2010,JK
1777,6/14/2010,JK
1778,6/10/2010,JK
1794,6/3/2010,CJ
1797,6/2/2010,LP
1808,6/10/2010,JK
1827,6/2/2010,LP
1830,6/2/2010,JK
1830,6/2/2010,JK
1842,6/7/2010,CJ
1855,6/2/2010,LP
1925,6/3/2010,JK
1927,6/3/2010,JK
1929,6/7/2010,JK
1936,6/4/2010,CJ
1939,6/4/2010,CJ
1955,6/3/2010,JK
1961,6/8/2010,JK
1985,6/3/2010,JK
1985,6/3/2010,JK
2023,6/4/2010,JK
2024,6/4/2010,JK
2024,6/4/2010,JK
2027,6/7/2010,JK
2032,6/7/2010,CJ
2044,6/8/2010,CJ
2054,6/7/2010,JK
2056,6/4/2010,JK
2056,6/4/2010,JK
2102,6/8/2010,CJ
2116,6/7/2010,JK
2118,6/11/2010,JK
2118,6/11/2010,JK
2118,6/7/2010,JK
2128,6/4/2010,CJ
2160,6/7/2010,CJ
2165,6/11/2010,CJ
2166,6/11/2010,CJ
2167,6/11/2010,CJ
2196,6/8/2010,CJ
2197,6/8/2010,CJ
2198,6/11/2010,CJ
2217,6/8/2010,JK
2229,6/11/2010,CJ
2233,6/9/2010,CJ
2244,6/9/2010,JK
2244,6/9/2010,JK
2277,6/10/2010,JK
2278,6/10/2010,JK
2283,6/11/2010,CJ
2289,6/10/2010,CJ
2302,6/9/2010,JK
2324,6/8/2010,JK
2325,6/8/2010,JK
2354,5/24/2010,CJ
2355,5/24/2010,CJ
2360,5/25/2010,CJ
2369,5/19/2010,CJ
2373,5/18/2010,CJ
2376,5/18/2010,CJ
2383,5/24/2010,CJ
2387,5/18/2010,CJ
2400,5/24/2010,CJ
2404,5/18/2010,CJ
2404,5/18/2010,CJ
2405,5/18/2010,CJ
2409,5/24/2010,CJ
2428,5/18/2010,CJ
2429,5/18/2010,CJ
2434,5/19/2010,CJ
2435,5/19/2010,CJ
2435,5/19/2010,CJ
2441,5/18/2010,CJ
2453,5/19/2010,CJ
2455,5/18/2010,CJ
2456,5/18/2010,CJ
2458,5/19/2010,CJ
2458,5/19/2010,CJ
2467,5/20/2010,CJ
2482,5/20/2010,CJ
2485,5/20/2010,CJ
2486,5/20/2010,CJ
2488,5/20/2010,CJ
2492,5/21/2010,CJ
2499,6/2/2009,MC
2499,6/2/2009,MC
2502,6/2/2009,MC
2504,6/2/2009,MC
2506,6/2/2009,KT
2508,6/2/2009,MC
2508,6/2/2009,MC
2512,6/2/2009,DH
2516,6/2/2009,KT
2519,6/3/2009,MC
2519,6/3/2009,MC
2521,6/2/2009,DH
2522,6/2/2009,DH
2525,6/2/2009,KT
2525,6/2/2009,KT
2526,6/2/2009,KT
2526,6/2/2009,KT
2532,6/2/2009,DH
2547,6/2/2009,CJ
2586,6/2/2009,CJ
2594,6/2/2009,CJ
2594,6/2/2009,CJ
2606,6/2/2009,CJ
2606,6/2/2009,CJ
2610,6/3/2009,CJ
2614,6/3/2009,KT
2618,6/3/2009,CJ
2625,6/3/2009,CJ
2625,6/3/2009,CJ
2625,6/3/2009,CJ
2628,6/3/2009,DH
2628,6/3/2009,DH
2632,6/3/2009,DH
2632,6/3/2009,DH
2640,6/3/2009,KT
2643,6/3/2009,DH
2643,6/3/2009,DH
2654,6/1/2009,CJ
2657,6/1/2009,CJ
2666,6/1/2009,CJ
2667,6/1/2009,CJ
2672,6/1/2009,CJ
2677,6/1/2009,MC
2682,6/2/2009,MC
2682,6/2/2009,MC
2682,6/2/2009,MC
2683,6/1/2009,MC
2683,6/1/2009,MC
2687,6/2/2009,MC
2688,6/2/2009,MC
2688,6/2/2009,MC
2691,6/1/2009,MC
2696,6/1/2009,DH
2696,6/1/2009,DH
2697,6/1/2009,MC
2697,6/1/2009,MC
2697,6/1/2009,MC
2697,6/1/2009,MC
2698,6/1/2009,MC
2698,6/1/2009,MC
2698,6/1/2009,MC
2703,6/1/2009,DH
2703,6/1/2009,DH
2704,6/1/2009,DH
2704,6/1/2009,DH
2707,6/1/2009,KT
2709,6/1/2009,DH
2709,6/1/2009,DH
2710,6/1/2009,MC
2714,6/1/2009,DH
2714,6/1/2009,DH
2714,6/1/2009,DH
2714,6/1/2009,DH
2719,6/1/2009,KT
2721,6/1/2009,KT
2722,6/1/2009,KT
2723,6/1/2009,KT
2724,6/1/2009,KT
2733,6/8/2009,KT
2746,6/8/2009,KT
2778,6/8/2009,KT
2778,6/8/2009,KT
2779,6/8/2009,KT
2779,6/8/2009,KT
2779,6/8/2009,KT
2807,6/8/2009,KT
2807,6/8/2009,KT
2821,6/9/2009,DH
2834,6/9/2009,DH
2835,6/9/2009,DH
2835,6/9/2009,DH
2852,6/9/2009,CJ
2872,6/8/2009,CJ
2878,6/9/2009,CJ
2896,6/9/2009,CJ
2928,6/8/2009,CJ
2944,6/8/2009,CJ
2946,6/8/2009,CJ
2950,6/8/2009,MC
2950,6/8/2009,MC
2951,6/8/2009,MC
2951,6/8/2009,MC
2958,6/9/2009,KT
2961,6/8/2009,CJ
2962,6/8/2009,CJ
2963,6/8/2009,CJ
2970,6/8/2009,MC
2985,6/8/2009,MC
2990,6/8/2009,MC
3005,6/8/2009,MC
3005,6/8/2009,MC
3031,6/8/2009,CJ
3033,6/8/2009,CJ
3038,6/9/2009,MC
3043,6/9/2009,MC
3047,6/9/2009,KT
3047,6/9/2009,KT
3048,6/8/2009,CJ
3049,6/8/2009,CJ
3061,6/9/2009,MC
3064,6/9/2009,KT
3064,6/9/2009,KT
3074,6/9/2009,MC
3074,6/9/2009,MC
3077,6/9/2009,MC
3106,6/8/2009,DH
3106,6/8/2009,DH
3127,6/8/2009,DH
3134,6/8/2009,DH
3139,6/8/2009,DH
3144,6/17/2009,KT
3144,6/17/2009,KT
3147,6/17/2009,KT
3147,6/17/2009,KT
3150,6/17/2009,KT
3154,6/17/2009,KT
3161,6/17/2009,KT
3170,6/17/2009,MC
3170,6/17/2009,MC
3170,6/17/2009,MC
3173,6/17/2009,MC
3173,6/17/2009,MC
3173,6/17/2009,MC
3174,6/17/2009,MC
3174,6/17/2009,MC
3174,6/17/2009,MC
3174,6/17/2009,MC
3175,6/17/2009,MC
3175,6/17/2009,MC
3176,6/17/2009,DH
3179,6/17/2009,DH
3185,6/17/2009,DH
3191,6/17/2009,DH
3196,6/17/2009,DH
3199,6/17/2009,CJ
3210,6/24/2009,MC
3211,6/17/2009,CJ
3212,6/17/2009,CJ
3233,6/18/2009,DH
3233,6/18/2009,DH
3242,6/17/2009,CJ
3246,6/17/2009,CJ
3247,6/17/2009,CJ
3251,6/18/2009,KT
3257,6/18/2009,CJ
3265,5/27/2009,DH
3265,5/27/2009,DH
3266,5/26/2009,KT
3267,5/27/2009,DH
3267,5/27/2009,DH
3267,5/27/2009,DH
3268,5/27/2009,KT
3268,5/27/2009,KT
3269,5/26/2009,DH
3269,5/26/2009,DH
3270,5/26/2009,KT
3271,5/27/2009,KT
3272,5/27/2009,DH
3272,5/27/2009,DH
3273,5/27/2009,MC
3273,5/27/2009,MC
3274,5/26/2009,DH
3274,5/26/2009,DH
3275,5/25/2009,KT
3278,5/27/2009,CJ
3280,5/25/2009,DH
3280,5/25/2009,DH
3282,5/25/2009,MC
3282,5/25/2009,MC
3283,5/27/2009,MC
3283,5/27/2009,MC
3285,5/26/2009,MC
3285,5/26/2009,MC
3293,6/10/2009,DH
3293,6/10/2009,DH
3297,5/27/2009,CJ
3298,5/26/2009,MC
3298,5/26/2009,MC
3313,6/10/2009,DH
3313,6/10/2009,DH
3314,6/18/2009,MC
3319,5/26/2009,CJ
3320,5/26/2009,MC
3321,5/26/2009,CJ
3327,6/10/2009,CJ
3332,6/10/2009,MC
3332,6/10/2009,MC
3346,6/10/2009,DH
3358,6/11/2009,CJ
3363,6/10/2009,CJ
3367,6/10/2009,MC
3368,6/10/2009,MC
3368,6/10/2009,MC
3400,6/16/2009,KT
3405,6/10/2009,CJ
3410,6/10/2009,CJ
3421,6/10/2009,DH
3432,5/25/2009,CJ
3436,6/15/2009,DH
3436,6/15/2009,DH
3439,6/5/2009,MC
3439,6/5/2009,MC
3439,6/15/2009,MC
3457,6/11/2009,CJ
3459,6/11/2009,CJ
3462,6/10/2009,CJ
3465,6/11/2009,MC
3466,6/11/2009,MC
3466,6/11/2009,MC
3468,6/11/2009,MC
3485,5/25/2009,DH
3485,5/25/2009,DH
3485,5/25/2009,DH
3506,6/15/2009,MC
3506,6/15/2009,MC
3506,6/15/2009,MC
3520,6/11/2009,MC
3520,6/11/2009,MC
3540,5/25/2009,KT
3541,5/25/2009,MC
3541,5/25/2009,MC
3553,6/15/2009,CJ
3565,6/11/2009,MC
3565,6/11/2009,MC
3566,6/12/2009,MC
3566,6/12/2009,MC
3566,6/11/2009,MC
3566,6/12/2009,MC
3585,6/11/2009,KT
3606,6/15/2009,DH
3627,6/11/2009,KT
3637,6/15/2009,KT
3664,6/10/2009,KT
3688,6/16/2009,MC
3692,6/10/2009,DH
3699,6/10/2009,KT
3705,6/11/2009,KT
3707,6/5/2009,MC
3707,6/15/2009,MC
3707,6/15/2009,MC
3721,6/11/2009,DH
3727,6/10/2009,KT
3732,6/11/2009,KT
3732,6/11/2009,KT
3736,6/10/2009,CJ
3738,6/15/2009,DH
3740,6/15/2009,MC
3746,6/15/2009,KT
3747,6/16/2009,DH
3748,6/11/2009,DH
3761,6/15/2009,KT
3762,6/15/2009,CJ
3770,6/11/2009,KT
3772,6/15/2009,CJ
3776,6/10/2009,KT
3780,6/15/2009,KT
3805,6/15/2009,CJ
3808,6/15/2009,KT
3813,5/21/2008,ES
3813,5/21/2008,ES
3813,5/21/2008,ES
3816,5/21/2008,ES
3817,5/21/2008,ES
3825,5/21/2008,ES
3842,5/21/2008,ES
3859,5/29/2008,MG
3882,5/21/2008,ES
3896,5/21/2008,ES
3906,5/22/2008,ES
3907,5/22/2008,ES
3919,5/22/2008,BH
3920,5/29/2008,MG
3921,5/21/2008,MPG
3921,5/21/2008,MPG
3932,5/22/2008,ES
3971,5/29/2008,MG
3983,5/22/2008,ES
3988,5/22/2008,ES
4000,5/29/2008,PA
4001,5/21/2008,BH
4003,5/22/2008,BH
4015,5/23/2008,CJ
4016,5/23/2008,CJ
4027,5/26/2008,PA
4029,5/21/2008,BH
4032,5/22/2008,BH
4044,5/23/2008,CJ
4045,5/23/2008,CJ
4048,6/2/2008,MG
4049,5/29/2008,PA
4049,5/29/2008,PA
4055,5/26/2008,MG
4056,5/26/2008,MG
4057,5/21/2008,BH
4071,5/22/2008,ES
4076,6/2/2008,MG
4079,5/21/2008,BH
4086,5/21/2008,BH
4106,5/26/2008,MG
4117,5/29/2008,PA
4132,5/26/2008,PA
4137,5/21/2008,MG
4161,5/26/2008,PA
4166,5/21/2008,MPG
4166,5/21/2008,MG
4191,5/21/2008,MG
4208,5/28/2008,CJ
4211,5/28/2008,CJ
4222,5/28/2008,PA
4222,5/28/2008,PA
4227,5/28/2008,MG
4228,5/28/2008,PA
4236,5/27/2008,PA
4236,5/27/2008,PA
4246,5/28/2008,CJ
4248,5/28/2008,CJ
4269,5/31/2008,MG
4270,5/31/2008,MG
4289,5/19/2008,BH
4290,5/19/2008,BH
4291,5/19/2008,BH
4301,5/28/2008,CJ
4314,5/30/2008,CJ
4326,5/28/2008,MG
4333,5/28/2008,PA
4343,5/28/2008,MG
4349,5/28/2008,CJ
4369,5/28/2008,MG
4386,5/27/2008,MG
4387,5/19/2008,BH
4389,5/19/2008,BH
4393,5/19/2008,BH
4409,5/30/2008,CJ
4425,5/27/2008,MG
4429,5/27/2008,PA
4429,5/27/2008,PA
4476,5/27/2008,MG
4484,5/28/2008,CJ
4485,5/28/2008,CJ
4499,5/27/2008,PA
4506,5/30/2008,MG
4538,5/30/2008,PA
4539,5/30/2008,MG
4548,5/28/2008,CJ
4548,5/28/2008,CJ
4554,5/31/2008,MG
4556,5/31/2008,MG
4557,5/21/2008,MG
4559,5/31/2008,MG
4569,5/30/2008,PA
4577,5/29/2008,CJ
4595,5/30/2008,PA
4614,5/30/2008,MG
4615,5/30/2008,PA
4626,5/30/2008,CJ
4635,5/28/2008,CJ
4638,5/28/2008,CJ
4641,5/30/2008,CJ
4665,5/30/2008,MG
4673,5/28/2008,CJ
4684,5/28/2008,CJ
4685,5/28/2008,CJ
4687,6/2/2008,MG
4694,5/30/2008,CJ
4713,6/2/2008,PA
4720,6/2/2008,PA
4727,6/2/2008,ET
4727,6/2/2008,ET
4733,6/2/2008,PA
4733,6/2/2008,PA
4762,6/9/2008,MG
4763,6/9/2008,MG
4772,6/9/2008,MG
4778,6/9/2008,MG
4787,6/9/2008,MG
4787,6/9/2008,MG
4790,6/9/2008,MG
4808,6/9/2008,PA
4812,6/3/2008,PA
4813,6/3/2008,PA
4818,6/9/2008,MG
4826,6/3/2008,PA
4835,6/9/2008,PA
4850,6/9/2008,ET
4857,6/3/2008,PA
4861,6/9/2008,PA
4861,6/9/2008,PA
4906,6/9/2008,ET
4918,6/9/2008,ET
4947,6/9/2008,ET
4965,6/3/2008,ET
4990,6/3/2008,ET
4991,6/3/2008,MG
4991,6/3/2008,MG
4997,6/3/2008,MG
5004,6/3/2008,ET
5031,6/19/2008,CJ
5033,6/19/2008,CJ
5048,6/19/2008,CJ
5050,6/19/2008,PA
5054,6/19/2008,PA
5055,6/19/2008,PA
5073,6/18/2008,CJ
5075,6/18/2008,CJ
5076,6/18/2008,CJ
5077,6/18/2008,PA
5078,6/18/2008,PA
5079,6/18/2008,CJ
5080,6/18/2008,CJ
5091,6/19/2008,MG
5091,6/19/2008,MG
5095,6/18/2008,ET
5100,6/17/2008,CJ
5110,6/17/2008,CJ
5113,6/18/2008,ET
5138,6/17/2008,ET
5141,6/18/2008,ET
5146,6/16/2008,ET
5149,6/18/2008,ET
5153,6/17/2008,ET
5154,6/17/2008,ET
5157,6/17/2008,ET
5158,6/17/2008,ET
5185,6/17/2008,ET
5185,6/17/2008,ET
5202,6/16/2008,ET
5212,6/12/2008,CJ
5215,6/16/2008,ET
5239,6/16/2008,CJ
5251,6/12/2008,CJ
5262,6/16/2008,CJ
5277,6/12/2008,CJ
5278,6/12/2008,CJ
5279,6/12/2008,CJ
5292,6/12/2008,CJ
5296,6/16/2008,CJ
5306,6/17/2008,CJ
5358,6/16/2008,CJ
5371,6/16/2008,MG
5373,6/12/2008,ET
5374,6/12/2008,ET
5376,6/12/2008,ET
5387,6/16/2008,CJ
5401,6/12/2008,ET
5402,6/12/2008,ET
5417,6/12/2008,MG
5427,6/12/2008,ET
5436,6/12/2008,MG
5445,6/16/2008,MG
5463,6/16/2008,MG
5465,6/16/2008,MG
5465,6/16/2008,MG
5483,6/12/2008,MG
5483,6/12/2008,MG
5488,6/16/2008,MG
5491,6/17/2008,MG
5509,6/16/2008,MG
5523,6/12/2008,PA
5524,6/12/2008,PA
5529,6/12/2008,PA
5537,6/18/2008,MG
5546,6/16/2008,PA
5555,6/17/2008,MG
5557,6/12/2008,PA
5561,6/12/2008,PA
5573,6/16/2008,PA
5580,6/16/2008,PA
5596,6/16/2008,PA
5597,6/16/2008,PA
5599,6/17/2008,MG
5629,6/17/2008,MG
5665,6/17/2008,MG
5700,6/18/2008,MG
5701,6/18/2008,MG
5705,6/19/2008,PA
5722,6/18/2008,MG
5722,6/18/2008,MG
5746,6/19/2008,PA
5754,6/18/2008,MG
5771,6/18/2008,MG
5811,6/23/2008,ET
5824,6/23/2008,PA
5825,6/23/2008,PA
5826,6/23/2008,PA
5837,6/23/2008,CJ
5847,6/23/2008,ET
5848,6/23/2008,ET
5858,6/23/2008,PA
5873,6/23/2008,PA
5876,6/23/2008,PA
5879,6/23/2008,MG
5881,6/24/2008,MG
5883,6/23/2008,CJ
5887,6/23/2008,ET
5888,6/23/2008,MG
5905,6/23/2008,CJ
5906,6/23/2008,ET
5906,6/23/2008,ET
5907,6/23/2008,MG
5908,6/23/2008,MG
5908,6/23/2008,MG
5914,6/23/2008,MG
5918,6/23/2008,MG
5919,6/23/2008,MG
5919,6/23/2008,MG
5920,6/23/2008,CJ
5921,6/23/2008,CJ
5922,6/23/2008,CJ
5923,6/23/2008,CJ
5924,6/23/2008,CJ
8081,6/24/2008,MG